Geneid,Tissue_1,Tissue_2,Tissue_3,Tissue_4,Tissue_5
ID-0185,15.15211205,73.00029431,77.01260111,94.28882054,17.03253808
ID-0186,3444.58014,10193.49564,15274.16589,12006.10981,11973.87427
ID-0187,1810.17232,1514.424287,1353.710388,748.0246429,755.109188
ID-0188,3.192591876,4.300418294,5.531999897,5.876800011,3.472757714
ID-0189,0,0,0,0,0
ID-0190,17.13753943,15.26860965,9.768737633,17.36573419,10.43382779
ID-0191,0,1020.748587,388.5320416,53.51527652,170.7857196
ID-0192,971.2378602,843.0958108,974.2200118,1051.67101,819.814064
ID-0193,4947.610236,1983.890351,5375.026542,3214.69414,3345.390861
ID-0194,3.3940731,26.75792606,51.75246795,54.91380908,15.26115412
ID-0195,4.281260827,7.882787462,9.223462305,10.14095908,6.302926199
ID-0196,8031.864767,9660.038946,42930.12942,62805.13755,10642.30311
ID-0197,10465.05872,13255.08374,45784.38031,86802.85963,13016.30001
ID-0198,4929.916968,5932.085812,23816.01035,41991.02469,6602.826462
ID-0199,18588.20701,3909.630308,1974.260814,3604.59875,3567.294774
ID-0200,118.3307798,519.5345621,430.2926284,255.0288098,392.559449
ID-0201,735.382505,1471.685933,622.9463734,380.1725244,546.8580225
ID-0202,3625.05863,4738.38274,6972.207487,11059.031,10486.74444
ID-0203,488.9081489,509.6747821,314.895969,256.4655919,336.1087513
ID-0204,4227.330255,2101.491795,527.4532105,6020.917778,720.5131214
ID-0205,76.77070107,376.9469743,328.5870981,201.1494838,272.5206092
ID-0206,3.822154392,50.2213327,71.2308743,38.05530775,21.48248046
ID-0207,1497.571433,6901.647906,5144.135236,5256.53138,5982.742553
ID-0208,1158.95179,6576.177289,5054.865038,5851.119589,4885.430433
ID-0209,235.0624951,485.8913938,228.2625745,513.7466546,228.7884168
ID-0210,836.3965853,509.6747821,212.2125008,105.603479,181.6804061
ID-0211,18.71731489,344.3115486,507.3771367,170.8291572,287.5493193
ID-0212,3083.278615,1270.482923,275.8125714,417.5021263,604.4570489
ID-0213,496.9892753,883.9672002,1201.396577,980.6037336,885.6919799
ID-0214,8236.626891,19094.30288,8109.91957,20651.347,12515.30252
ID-0215,12.70236939,1275.140688,757.5211542,186.5450677,422.6517233
ID-0216,70.70985625,513.2141903,827.1723823,356.2022109,1056.017361
ID-0217,215.8668762,45.17796419,53.69354007,289.4979093,76.96450609
ID-0218,1088.316918,212.0759538,343.7663934,1939.889995,378.4185633
ID-0219,1715.597887,2620.046927,1882.316325,891.0293541,1898.702182
ID-0220,12563.09459,1389.974503,279.0017917,302.2204827,966.3724234
ID-0221,0,0,0,0,0
ID-0222,0,0,0,0,0
ID-0223,0,0,0,0,0
ID-0224,27329.00939,4735.623053,4383.872422,1343.569015,3541.418808
ID-0225,424.2591375,824.3244065,298.2190086,533.6346013,380.5141485
ID-0226,294.3838913,699.6651585,352.0576051,565.7329232,822.4282671
ID-0227,0,32.79157605,204.3602356,72.47297579,37.4047895
ID-0228,493.9136227,8948.429564,9086.720636,3250.853365,6858.265854
ID-0229,3206.505902,0,15.13230057,0,60.24139782
ID-0230,101.5831738,274.8026444,60.74233327,185.921618,100.755859
ID-0231,66.09061941,107.0092939,46.95575679,75.88591707,90.10982957
ID-0232,1718.905578,1982.70715,3727.304034,1017.930442,3657.957043
ID-0233,1841.905524,3066.012361,9379.258249,4069.597483,5955.572338
ID-0234,1552.897228,1054.165089,557.5185738,734.4857354,538.0535105
ID-0235,1605.113737,910.5127618,467.2097801,721.6237732,401.4001473
ID-0236,8377.89883,10803.12819,13822.13903,15773.76103,13183.57602
ID-0237,1084.217796,464.5473274,71.8784277,222.9406779,222.5584975
ID-0238,4.801019858,6.893243116,7.27471934,7.139350619,5.586871567
ID-0239,653.2243863,274.3041362,581.8729862,502.8737095,219.5304907
ID-0240,4.51339508,38.54754419,26.76324436,1511.028503,12.68380495
ID-0241,540.3300336,878.2574002,237.3344311,418.4288791,485.9093881
ID-0242,28.66615794,11.29979986,9.713301041,21.40611061,16.11186034
ID-0243,100.4824273,190.7089028,312.1036992,423.8034355,338.8578628
ID-0244,1024.07378,2138.519594,2478.566473,2858.576932,2215.991936
ID-0245,515.4976617,725.2932467,1020.209942,709.7007997,574.3445097
ID-0246,0,0,0,0,0
ID-0247,0,0,0,0,0
ID-0248,3.34062313,48.28365923,11.31943743,12.47285185,15.02082098
ID-0249,50.726636,12.11862593,31.25149031,22.95727804,36.28671155
ID-0250,719.3959288,4936.320297,1510.488698,925.9435478,905.4398501
ID-0251,5.733231588,15.06639981,38.85320416,92.75981264,12.88948827
ID-0252,56.22711461,255.2211823,225.1613398,76.33986434,264.3121571
ID-0253,872.4201982,1711.627899,769.4028881,1874.089909,1128.465621
ID-0254,419.5451471,622.4934188,287.5137108,554.4182648,323.2397226
ID-0255,0,0,0,0,0
ID-0256,0.311093369,1.21898737,1.119997499,1.355113975,0.412147679
ID-0257,18.6487533,55.13308941,7.898728319,46.41911165,0
ID-0258,1299.629257,7088.168968,5131.573826,9347.244644,10078.5193
ID-0259,310.5084992,222.1748088,140.6317064,187.4844374,279.9260605
ID-0260,1010.140804,703.4573815,385.0630055,402.2989676,312.263198
ID-0261,0.00638118,0.016769148,0.021622124,0,0.035865526
ID-0262,0,0,0,0,0
ID-0263,0,0,0,0,0
ID-0264,0,0,0,0,0
ID-0265,518.9285318,1160.984395,504.9311037,519.2898348,1525.327129
ID-0266,349.0358862,1150.495934,1248.951403,823.8569284,1180.439447
ID-0267,3425.499703,0,2049.866272,45.6311329,3656.318173
ID-0268,620.8670305,135.9650714,122.7192668,184.591447,193.866287
ID-0269,0,0,0,0,0
ID-0270,139.7559512,104.9330434,59.19399928,55.90772418,78.55005795
ID-0271,176.3773942,939.5339206,484.5736699,587.3451922,787.7070418
ID-0272,1547.760187,9435.472384,11347.474,4189.91581,9856.162033
ID-0273,6.629049023,34.84104956,5.615502164,0,3.725867704
ID-0274,8.570891666,146.4027941,72.60447243,181.3393074,81.89381943
ID-0275,725.840934,1255.956871,640.8438133,636.1655362,1241.117955
ID-0276,4399.977829,2274.783365,3825.787281,3048.874636,3422.990716
ID-0277,11144.96119,52079.32885,17762.26531,22917.98578,27963.49693
ID-0278,230.7374256,371.6378619,132.40763,60.21250996,255.1892547
ID-0279,862.2040536,3344.740758,5441.119688,11667.48115,2451.220318
ID-0280,44386.50522,7525.666704,8293.245863,1680.055348,12450.2692
ID-0281,789.7100777,447.0693092,142.3335202,172.520535,203.041345
ID-0282,865.4886405,1287.725192,1516.634825,1547.090967,715.3665992
ID-0283,3190.661185,5093.47508,3564.382305,2459.2591,3233.84901
ID-0284,18.24770484,29.97079532,15.45772639,11.3552128,5.12807598
ID-0285,1923.795744,3556.189886,2490.959305,5289.277698,2499.671795
ID-0286,3704.410802,5063.565869,2076.487911,1388.490187,1982.713599
ID-0287,44.65885658,293.3983121,151.3230057,172.3004131,140.5632616
ID-0288,302.3455922,589.4945396,413.0944121,591.7436323,285.0502924
ID-0289,14.52942252,45.81836654,68.92451971,25.3159025,65.33028303
ID-0290,265.7447345,85.76258353,102.6834681,313.3290036,99.57483798
ID-0291,122.677341,678.3510372,528.2631434,477.1241521,373.4845698
ID-0292,3265.509725,18252.48681,34697.67737,25464.83891,12963.30989
ID-0293,6.527591951,8.215990377,5.717313718,10.24921921,4.712823477
ID-0294,142.741392,239.6543222,349.3157234,301.0192626,138.1704958
ID-0295,48.9529774,139.3641982,393.9490749,309.7025105,288.8980497
ID-0296,121.3223636,223.7587591,114.6552646,157.7314144,144.9544076
ID-0297,0,0,0,0,0
ID-0298,513.8249554,873.3489756,479.189518,469.3487956,577.5922912
ID-0299,261.4620266,19.44616719,158.8011775,122.794743,83.18216269
ID-0300,114.0864908,871.3190209,2542.925888,1202.459782,1210.312117
ID-0301,257.3375096,14000.39027,9933.363042,4665.596326,5683.841722
ID-0302,0,0,0,0,0
ID-0303,4.933245785,447.2618455,150.4432208,116.6550059,72.09120767
ID-0304,61.15447027,90.39839885,246.070293,133.1935771,98.81941009
ID-0305,1045.972213,904.5525319,655.4950954,939.8045458,1076.7992
ID-0306,20.20281607,33.18195196,17.11391136,88.00289917,45.42010153
ID-0307,440.83176,1210.726472,595.2432294,899.2796259,547.7025525
ID-0308,169.703655,316.9852352,163.4881885,190.5003935,134.6572422
ID-0309,0,0,0,0,0
ID-0310,124.5531413,3856.169008,2123.381075,329.4053473,1671.376397
ID-0311,213.0478786,801.1933128,961.4906563,1437.761651,1071.501486
ID-0312,535.5402227,1864.281734,2109.219436,3341.224827,2705.102113
ID-0313,942.3018738,692.4200165,514.4982193,811.479365,486.9512991
ID-0314,670.0600663,561.8810532,182.5483878,264.0086975,174.1103892
ID-0315,6.917268546,0,15.62574515,8.608979266,7.775723904
ID-0316,18.2455677,11.19972489,10.42901522,11.93694878,6.926001616
ID-0317,8768.022175,6575.131404,3446.478457,10052.63887,15536.29511
ID-0318,18409.89153,18637.36143,5660.873187,12288.88246,11206.22371
ID-0319,11.73293375,19.63222753,17.67599886,24.65791103,10.26690858
ID-0320,99.63661562,20026.21297,6262.135747,3864.1273,8757.821396
ID-0321,2.676547593,4.091464111,3.36527045,4.15735912,2.339454207
ID-0322,8.584201708,6.74064994,6.964669894,5.896403882,3.216509618
ID-0323,288.3965682,205.7101174,416.531268,320.5308848,384.5014693
ID-0324,49.9128397,438.5873297,200.8367833,283.4211017,224.428737
ID-0325,606.0844821,13883.3287,11278.06758,4689.297341,15584.77234
ID-0326,494.9689937,1043.444766,1907.542889,1753.28853,862.1084656
ID-0327,3.85690125,5.067789027,32.67201259,9.600316273,8.671110293
ID-0328,0,0,0,0,0
ID-0329,346.4961195,207.7665757,916.7929093,546.8412056,516.9255704
ID-0330,637.74677,497.1429658,1796.040354,1131.417555,970.6147754
ID-0331,232.2260542,771.6375607,442.6197916,558.5868231,409.1394936
ID-0332,981.0992554,1358.800933,479.189518,808.5266361,1251.891549
ID-0333,583.8095823,790.9216036,1486.716197,1141.781205,1259.534354
ID-0334,29.87740405,117.7725619,70.86605548,141.3004296,73.88762996
ID-0335,0,0,0,0,0
ID-0336,6.285320555,45.42240535,95.8379036,46.93487956,31.79407107
ID-0337,1030.34362,1645.824817,598.9868975,2941.811201,12325.88005
ID-0338,242.4337928,468.9715877,125.5020166,762.6917928,3058.286837
ID-0339,35.35492812,102.200412,71.8784277,237.6078278,937.9250967
ID-0340,51.42535,101.3557805,0,120.0039534,491.3629166
ID-0341,141.4197125,402.6076838,23.9594759,610.1534342,1579.10553
ID-0342,7.252292948,9.529175947,0,0,16.30465183
ID-0343,0,0,0,0,0
ID-0344,0,0,0,0,0
ID-0345,70.70985625,167.2370379,175.7028233,404.8133362,1308.855926
ID-0346,1098.424342,1489.096913,580.9352376,882.44003,685.9679718
ID-0347,73.27456625,3.238272671,9.165568848,29.32598737,1.75682739
ID-0348,0,0,0,0,0
ID-0349,18.05358032,59.30391414,61.17312996,11.23441266,20.29408792
ID-0350,94.27980833,419.8131403,221.8469991,299.8617305,270.8383832
ID-0351,218.9724581,641.3750198,324.6122541,357.6892031,302.5564828
ID-0352,1026.248454,647.8551918,922.7635989,820.5675733,1011.824829
ID-0353,450.3101372,498.7771305,844.8867818,551.1760527,548.029383
ID-0354,0,0,0,0,0
ID-0355,6.955067828,91.38635949,11.7833488,216.4005717,93.81857038
ID-0356,400.0157582,3073.97603,903.6145197,7150.864149,2166.538843
ID-0357,0,0,0,0,0
ID-0358,37.80526968,237.3330901,113.8668162,308.445805,141.6567523
ID-0359,0,0,0,0,0
ID-0360,4.040563214,467.2018836,177.9846781,55.31610805,227.1005077
ID-0361,915.8609952,7061.119377,4027.473806,1584.052185,10113.54261
ID-0362,3527.806958,1569.362058,2203.230067,1985.804551,2213.489405
ID-0363,827.3053181,2571.269457,1087.161219,2217.673059,1681.111508
ID-0364,750.2687905,1373.1041,1324.0763,1322.822526,948.8020157
ID-0365,979.059548,618.7157812,379.1389593,417.7720048,445.4663804
ID-0366,490.5496277,1062.652011,1060.206809,1273.841965,879.3047781
ID-0367,17.67746406,438.9972244,350.407335,211.206958,912.0924139
ID-0368,0,0,0,0,0
ID-0369,0,0,0,0,0
ID-0370,338.3971692,8554.307215,5827.286817,4519.577464,17764.93721
ID-0371,2295.757389,2511.160506,2552.691825,3182.908596,4162.943325
ID-0372,75.27178246,224.7809649,243.4591906,349.1727935,123.0738235
ID-0373,47.13990416,79.6366847,114.0927424,192.7682553,83.27018614
ID-0374,9623.611435,1124.204532,479.189518,193.6063782,810.7488124
ID-0375,10503.44408,1282.150624,513.4173407,678.8795079,1028.7653
ID-0376,2239.927389,7762.123496,2680.963156,2092.049963,4079.736845
ID-0377,5897.66823,25903.36317,12108.75051,8187.170817,12436.37319
ID-0378,248.7036323,370.0359746,346.9993062,423.3242908,624.9179487
ID-0379,18.52973105,40.67784995,44.60699436,43.32040954,49.817876
ID-0380,380.1802661,557.4567929,345.3898474,630.8779265,600.7840703
ID-0381,90.68134236,382.9855829,257.8844353,354.6987081,243.9163468
ID-0382,0,0,0,0,0
ID-0383,1025.77723,985.0948806,566.1656977,759.477075,571.6399765
ID-0384,1408.540336,1635.206593,805.0383903,1408.046387,686.7519352
ID-0385,4292.044894,1339.777292,2824.425334,544.2142476,1676.503318
ID-0386,1793.459081,3167.368142,1219.755137,2056.067735,1755.899834
ID-0387,0,0,0,0,0
ID-0388,0,0,0,0,0
ID-0389,0,0,0,0,0
ID-0390,0,0,0,0,0
ID-0391,141.4197125,247.7585746,325.1643158,343.6303682,408.7809138
ID-0392,704.8714804,2330.783914,582.9510278,2020.602,1626.003871
ID-0393,985.920382,389.5862814,277.712107,390.0128486,279.1013625
ID-0394,1316.856284,666.0522721,289.380683,569.1616076,297.29521
ID-0395,161.8212448,194.3483245,326.7915402,291.4194366,198.0614264
ID-0396,13.54018524,35.58234848,15.29328249,11.23441266,15.22056594
ID-0397,1369.199944,461.1688014,215.6352831,129.6042697,147.408875
ID-0398,81.4577544,301.0266682,189.7590491,76.03450488,123.9968772
ID-0399,217.5687885,764.7163698,313.3162233,216.622521,409.6543773
ID-0400,3599.131683,8789.235435,6744.592466,10815.55631,10499.99197
ID-0401,443.7205658,1385.970559,1411.191149,1521.077633,1120.084706
ID-0402,7377.395002,20099.41437,8186.154266,17698.36083,21593.47327
ID-0403,2208.472223,7086.574025,8812.492164,6140.914635,7865.766077
ID-0404,292.0225232,224.4306569,102.6834681,315.4389632,272.5206092
ID-0405,1040.914861,1510.318985,944.4491082,896.4016241,1419.642243
ID-0406,0,0,0,0,0
ID-0407,125.1423753,175.0888483,316.3436069,131.4378065,213.6144767
ID-0408,4.027776622,0,2.274633788,6154.076158,1.509212234
ID-0409,717.6298177,2437.390871,2332.22558,2550.211674,3734.112177
ID-0410,112.3038893,1746.151425,2632.018897,559.0772418,1346.572422
ID-0411,21.21295687,55.74567929,44.92401731,6.600217438,29.80694163
ID-0412,0,0,0,0,0
ID-0413,887.8015284,3948.652283,3261.150887,1461.825936,3272.139815
ID-0414,0,0,0,0,0
ID-0415,7474.031805,9434.95622,19311.33758,14023.26198,14835.90841
ID-0416,453.3749606,382.5683873,422.8142806,455.5444192,416.1282832
ID-0417,856.8370816,475.4778528,119.7973795,160.475875,224.428737
ID-0418,101.822193,527.725764,124.5892747,190.0862622,235.2761259
ID-0419,2338.599148,5819.305058,12926.42944,8426.814198,6688.386903
